request,category,action,confidence,capabilities
"get asset db-prod-01",asset_management,list_credentials,0.81,"credential_access|secret_retrieval"
"restart mysql service",automation,execute_command,0.93,"system_info|process_management"
"show dashboard for apache",monitoring,check_status,0.84,"system_monitoring|service_management"
"configure apache on server1",configuration,change_settings,0.87,"system_info|service_management"
"check health of web app",monitoring,check_alerts,0.76,"system_monitoring|log_analysis"
"emergency shutdown of ssh",automation,start_service,0.91,"service_management|system_monitoring|system_info"
"set permissions for /etc/nginx",configuration,modify_parameters,0.88,"system_info|service_management"
"diagnose performance issues on 192.168.1.100",troubleshooting,check_connectivity,0.96,"network_testing|network_monitoring"
"get asset web-staging-02",asset_management,list_assets,0.89,"asset_management|resource_listing|asset_query"
"check health of database",monitoring,check_alerts,0.82,"system_monitoring|log_analysis"
"check connectivity to server1",troubleshooting,investigate_error,0.77,"log_analysis|system_monitoring"
"change timeout to 8080",configuration,configure_service,0.78,"service_management|system_info"
"modify max_connections in docker",configuration,update_config,0.98,"system_info|service_management"
"read /proc/cpuinfo",information,calculate,0.86,"system_info|resource_listing"
"fix connection issue on prod-web-01",troubleshooting,analyze_logs,0.8,"log_analysis|text_search"
"search for load-balancer",asset_management,query_assets,0.91,"asset_management|asset_query"
"set permissions for /home/user",configuration,change_settings,0.83,"system_info|service_management|disk_management"
"emergency shutdown of postgresql",automation,restart_service,0.83,"service_management|system_monitoring|process_management"
"get credentials for docker",asset_management,get_asset_info,0.76,"asset_management|asset_query"
"display contents of /var/log/nginx/access.log",information,math,0.94,"system_info|resource_listing"
"start redis on 192.168.1.100",automation,emergency_response,0.94,"service_management|system_monitoring|process_management"
"display contents of /proc/cpuinfo",information,get_help,0.77,"system_info"
"query assets in datacenter-1",asset_management,get_asset,0.86,"asset_management|asset_query"
"fix disk space on 192.168.1.100",troubleshooting,diagnose_issue,0.82,"system_monitoring|log_analysis|process_monitoring"
"investigate connection timeout in web app",troubleshooting,diagnose_performance,0.79,"system_monitoring|memory_monitoring|process_monitoring"
"get information about load balancer",asset_management,search_assets,0.85,"asset_management|asset_query"
"diagnose performance issues on 192.168.1.100",troubleshooting,investigate_error,0.79,"log_analysis|system_monitoring"
"list available databases",information,show_examples,0.78,"system_info"
"configure mysql on server1",configuration,set_permissions,0.86,"system_info|disk_management"
"describe load balancer",information,answer_question,0.86,"system_info|resource_listing"
"show dashboard for nginx",monitoring,check_alerts,0.8,"system_monitoring|log_analysis"
"start nginx on server1",automation,deploy_application,0.95,"service_management|disk_management|system_monitoring"
"show network config",information,show_examples,0.92,"system_info"
"query assets in AWS us-east-1",asset_management,list_hosts,0.75,"asset_management|resource_listing|asset_query"
"discover assets in 192.168.1.0/24",asset_management,list_hosts,0.85,"asset_management|resource_listing"
"restart nginx service",automation,run_script,0.92,"system_info|process_management"
"configure postgresql on web-01",configuration,change_settings,0.82,"system_info|service_management"
"configure mysql on web-01",configuration,update_security,0.78,"system_info|service_management"
"update test settings",configuration,update_security,0.98,"system_info|service_management"
"list all servers",asset_management,query_assets,0.78,"asset_management|asset_query"
"configure postgresql on db-server",configuration,update_environment,0.94,"system_info|service_management|disk_management"
"get configuration",information,math,0.81,"system_info|resource_listing"
"search for load-balancer",asset_management,list_assets,0.93,"asset_management|resource_listing"
"execute systemctl status",automation,execute_command,0.86,"system_info|process_management"
"search for load-balancer",asset_management,get_credentials,0.82,"credential_access|secret_retrieval"
"update production settings",configuration,set_permissions,0.97,"system_info|disk_management"
"count active servers",asset_management,list_servers,0.94,"asset_management|resource_listing"
"what is the status of service",information,show_examples,0.76,"system_info"
"discover assets in 10.0.0.0/16",asset_management,count_assets,0.83,"asset_management|asset_query"
"get asset web-staging-02",asset_management,list_hosts,0.77,"asset_management|resource_listing"
"show system info",information,describe_system,0.75,"system_info|infrastructure_info"
"stop nginx",automation,execute_command,0.76,"system_info|process_management"
"list all servers",asset_management,query_assets,0.87,"asset_management|asset_query"
"view logs for redis",monitoring,view_logs,0.83,"log_analysis|system_info"
"show examples of cron jobs",information,show_documentation,0.83,"system_info"
"check health of service",monitoring,check_alerts,0.87,"system_monitoring|log_analysis"
"fix memory leak on prod-web-01",troubleshooting,diagnose_performance,0.88,"system_monitoring|memory_monitoring|process_monitoring"
"read /proc/cpuinfo",information,explain_concept,0.95,"system_info|infrastructure_info"
"run maintenance.sh on prod-web-01",automation,start_service,0.79,"service_management|system_monitoring"
"list available credentials",asset_management,get_credentials,0.8,"credential_access|secret_retrieval|asset_management"
"search for load-balancer",asset_management,search_assets,0.92,"asset_management|asset_query"
"emergency shutdown of mysql",automation,stop_service,0.92,"service_management|system_monitoring|system_info"
"diagnose performance issues on prod-web-01",troubleshooting,debug_application,0.97,"process_monitoring|log_analysis|system_monitoring"
"restore /var/log from /backup/daily",automation,restore_data,0.93,"disk_management|system_info"
"calculate memory usage",information,provide_information,0.94,"system_info|infrastructure_info|resource_listing"
"restore /var/www from /snapshots/latest",automation,run_script,0.78,"system_info|process_management"
"check alerts for staging",monitoring,view_logs,0.9,"log_analysis|system_info"
"how do I monitor CPU",information,explain_concept,0.8,"system_info"
"check status of postgresql",monitoring,view_logs,0.93,"log_analysis|system_info"
"diagnose mysql issue",troubleshooting,check_connectivity,0.86,"network_testing|network_monitoring"
"explain firewall rules",information,provide_information,0.81,"system_info|infrastructure_info"
"investigate connection timeout in service",troubleshooting,diagnose_issue,0.8,"system_monitoring|log_analysis|process_monitoring|network_testing"
"list available databases",information,compute,0.91,"system_info|infrastructure_info"
"describe database cluster",information,compute,0.93,"system_info"
"set permissions for /etc/nginx",configuration,set_permissions,0.96,"system_info|disk_management"
"get configuration",information,provide_information,0.94,"system_info|infrastructure_info"
"fix memory leak on prod-web-01",troubleshooting,debug_application,0.78,"process_monitoring|log_analysis|system_monitoring"
"list hosts in test",asset_management,list_assets,0.78,"asset_management|resource_listing|asset_query"
"check status of docker",monitoring,check_alerts,0.96,"system_monitoring|log_analysis|process_monitoring"
"show documentation for kubernetes",information,get_status_info,0.83,"system_info|system_monitoring"
"monitor performance of prod-web-01",monitoring,check_health,0.93,"system_monitoring|service_management"
"diagnose ssh issue",troubleshooting,debug_application,0.79,"process_monitoring|log_analysis|system_monitoring"
"find asset by service type",asset_management,asset_discovery,0.84,"asset_management|network_info|resource_listing"
"backup /home/user to /backup",automation,run_script,0.82,"system_info|process_management"
"run deploy.py on web-01",automation,restore_data,0.88,"disk_management|system_info"
"display contents of /etc/passwd",information,show_documentation,0.89,"system_info"
"stop redis",automation,emergency_response,0.77,"service_management|system_monitoring|process_management"
"restore /var/log from /snapshots/latest",automation,deploy_application,0.9,"service_management|disk_management|system_monitoring"
"get asset server-001",asset_management,list_hosts,0.81,"asset_management|resource_listing"
"restart apache service",automation,execute_command,0.97,"system_info|process_management"
"update production settings",configuration,update_environment,0.9,"system_info|service_management"
"analyze logs for 404 error",troubleshooting,check_connectivity,0.94,"network_testing|network_monitoring"
"explain SSL certificates",information,compute,0.89,"system_info"
"monitor performance of prod-web-01",monitoring,view_logs,0.86,"log_analysis|system_info|disk_monitoring"
"what is the status of application",information,explain_concept,0.75,"system_info"
"show dashboard for redis",monitoring,monitor_performance,0.9,"system_monitoring|memory_monitoring|process_monitoring|log_analysis"
"diagnose redis issue",troubleshooting,diagnose_performance,0.77,"system_monitoring|memory_monitoring|process_monitoring"
"display contents of /proc/cpuinfo",information,answer_question,0.93,"system_info"
"deploy application to test",automation,restore_data,0.92,"disk_management|system_info|service_management"
"get CPU metrics for server1",monitoring,view_dashboard,0.77,"system_monitoring|api_query"
"how do I monitor CPU",information,show_examples,0.76,"system_info|infrastructure_info"
"view logs for redis",monitoring,get_metrics,0.87,"system_monitoring|memory_monitoring|disk_monitoring"
"list available credentials",asset_management,list_credentials,0.94,"credential_access|secret_retrieval"
"update security settings for postgresql",configuration,update_config,0.85,"system_info|service_management"
"read /proc/cpuinfo",information,list_resources,0.9,"resource_listing|system_info"
"monitor performance of prod-web-01",monitoring,monitor_performance,0.8,"system_monitoring|memory_monitoring|process_monitoring|disk_monitoring"
"read /var/log/nginx/access.log",information,explain_concept,0.87,"system_info"
"debug service performance",troubleshooting,debug_application,0.95,"process_monitoring|log_analysis|system_monitoring"
"deploy api to test",automation,restore_data,0.8,"disk_management|system_info"
"restore /etc/nginx from /snapshots/latest",automation,backup_data,0.8,"disk_management|system_info"
"get configuration",information,provide_information,0.79,"system_info|infrastructure_info"
"update postgresql configuration",configuration,update_security,0.97,"system_info|service_management"
"set permissions for /etc/nginx",configuration,modify_parameters,0.88,"system_info|service_management"
"monitor performance of db-server",monitoring,get_metrics,0.85,"system_monitoring|memory_monitoring|disk_monitoring"
"display contents of /proc/cpuinfo",information,answer_question,0.9,"system_info"
"read /proc/cpuinfo",information,list_resources,0.85,"resource_listing|system_info"
"update mysql configuration",configuration,update_security,0.77,"system_info|service_management"
"view logs for docker",monitoring,check_alerts,0.85,"system_monitoring|log_analysis"
"how do I monitor CPU",information,answer_question,0.94,"system_info"
"view logs for apache",monitoring,view_logs,0.96,"log_analysis|system_info|system_monitoring"
"analyze logs for connection timeout",troubleshooting,check_connectivity,0.83,"network_testing|network_monitoring"
"view logs for mysql",monitoring,check_status,0.86,"system_monitoring|service_management|log_analysis"
"start docker on prod-web-01",automation,start_service,0.92,"service_management|system_monitoring"
"list all servers",asset_management,list_hosts,0.81,"asset_management|resource_listing"
"debug service performance",troubleshooting,diagnose_issue,0.79,"system_monitoring|log_analysis|process_monitoring"
"calculate memory usage",information,math,0.96,"system_info"
"how do I monitor CPU",information,provide_information,0.97,"system_info|infrastructure_info|resource_listing"
"list available credentials",asset_management,query_assets,0.83,"asset_management|asset_query"
"update test settings",configuration,update_environment,0.86,"system_info|service_management"
"calculate memory usage",information,get_help,0.85,"system_info|resource_listing"
"how do I monitor CPU",information,show_examples,0.87,"system_info|infrastructure_info"
"read /etc/passwd",information,explain_concept,0.9,"system_info"
"check health of web app",monitoring,get_metrics,0.77,"system_monitoring|memory_monitoring|disk_monitoring|log_analysis"
"list available credentials",asset_management,count_assets,0.91,"asset_management|asset_query|resource_listing"
"execute ps aux",automation,restore_data,0.88,"disk_management|system_info"
"update staging settings",configuration,change_settings,0.97,"system_info|service_management|disk_management"
"get CPU metrics for 192.168.1.100",monitoring,check_alerts,0.94,"system_monitoring|log_analysis|disk_monitoring"
"deploy webapp to production",automation,restart_service,0.78,"service_management|system_monitoring|system_info"
"check alerts for development",monitoring,view_dashboard,0.93,"system_monitoring|api_query|disk_monitoring"
"check status of docker",monitoring,view_dashboard,0.77,"system_monitoring|api_query"
"show process list",information,list_resources,0.83,"resource_listing|system_info"
"configure apache on 192.168.1.100",configuration,update_config,0.88,"system_info|service_management"
"check health of web app",monitoring,check_status,0.76,"system_monitoring|service_management"
"emergency shutdown of mysql",automation,restart_service,0.84,"service_management|system_monitoring|process_management"
"investigate connection timeout in API",troubleshooting,fix_problem,0.91,"service_management|system_info|process_management"
"analyze logs for permission denied",troubleshooting,check_connectivity,0.94,"network_testing|network_monitoring"
"count active servers",asset_management,list_assets,0.97,"asset_management|resource_listing"
"start ssh on server1",automation,execute_command,0.88,"system_info|process_management"
"show dashboard for ssh",monitoring,check_status,0.93,"system_monitoring|service_management"
"update security settings for nginx",configuration,change_settings,0.88,"system_info|service_management"
"diagnose performance issues on web-01",troubleshooting,diagnose_performance,0.9,"system_monitoring|memory_monitoring|process_monitoring"
"list available databases",information,provide_information,0.76,"system_info|infrastructure_info|resource_listing"
"change port to 30s",configuration,modify_parameters,0.96,"system_info|service_management|disk_management"
"restart ssh service",automation,restore_data,0.92,"disk_management|system_info"
"check health of database",monitoring,view_dashboard,0.76,"system_monitoring|api_query"
"restart redis service",automation,stop_service,0.78,"service_management|system_monitoring|system_info"
"set permissions for /etc/nginx",configuration,modify_parameters,0.95,"system_info|service_management|disk_management"
"show documentation for nginx",information,show_documentation,0.84,"system_info"
"update staging settings",configuration,update_security,0.91,"system_info|service_management"
"check alerts for development",monitoring,check_alerts,0.77,"system_monitoring|log_analysis"
"fix slow response on 192.168.1.100",troubleshooting,investigate_error,0.76,"log_analysis|system_monitoring"
"change port to 30s",configuration,update_environment,0.83,"system_info|service_management"
"modify timeout in postgresql",configuration,change_settings,0.87,"system_info|service_management|disk_management"
"debug web app performance",troubleshooting,debug_application,0.93,"process_monitoring|log_analysis|system_monitoring"
"diagnose mysql issue",troubleshooting,analyze_logs,0.95,"log_analysis|text_search"
"discover assets in 192.168.1.0/24",asset_management,search_assets,0.93,"asset_management|asset_query|network_info"
"show dashboard for ssh",monitoring,monitor_performance,0.81,"system_monitoring|memory_monitoring|process_monitoring"
"display contents of /var/log/nginx/access.log",information,show_documentation,0.91,"system_info"
"check status of ssh",monitoring,get_metrics,0.85,"system_monitoring|memory_monitoring|disk_monitoring|log_analysis"
"get asset db-prod-01",asset_management,count_assets,0.86,"asset_management|asset_query"
"query assets in datacenter-1",asset_management,get_asset,0.82,"asset_management|asset_query"
"describe web server",information,math,0.85,"system_info"
"update security settings for mysql",configuration,update_security,0.87,"system_info|service_management"
"list available credentials",asset_management,list_hosts,0.79,"asset_management|resource_listing|asset_query"
"change max_connections to 30s",configuration,update_security,0.77,"system_info|service_management"
"change max_connections to 100",configuration,configure_service,0.78,"service_management|system_info"
"calculate CPU usage",information,get_help,0.92,"system_info|resource_listing"
"debug API performance",troubleshooting,investigate_error,0.8,"log_analysis|system_monitoring"
"deploy application to production",automation,start_service,0.81,"service_management|system_monitoring|system_info"
"set permissions for /etc/nginx",configuration,update_environment,0.79,"system_info|service_management"
"change max_connections to 8080",configuration,update_config,0.8,"system_info|service_management"
"get information about load balancer",asset_management,get_credentials,0.91,"credential_access|secret_retrieval"
"debug database performance",troubleshooting,investigate_error,0.86,"log_analysis|system_monitoring|network_testing"
"diagnose redis issue",troubleshooting,debug_application,0.97,"process_monitoring|log_analysis|system_monitoring"
"show process list",information,get_status_info,0.94,"system_info|system_monitoring"
"configure docker on server1",configuration,update_security,0.81,"system_info|service_management"
"stop postgresql",automation,restore_data,0.81,"disk_management|system_info|service_management"
"show dashboard for nginx",monitoring,get_metrics,0.88,"system_monitoring|memory_monitoring|disk_monitoring"
"diagnose nginx issue",troubleshooting,fix_problem,0.9,"service_management|system_info|process_management"
"change memory_limit to 30s",configuration,update_security,0.87,"system_info|service_management|disk_management"
"show documentation for docker",information,calculate,0.76,"system_info|resource_listing"
"show network config",information,show_examples,0.83,"system_info|infrastructure_info"
"analyze logs for out of memory",troubleshooting,diagnose_issue,0.83,"system_monitoring|log_analysis|process_monitoring"
"what is the status of web server",information,get_status_info,0.79,"system_info|system_monitoring"
"emergency shutdown of docker",automation,execute_command,0.76,"system_info|process_management|service_management"
"monitor performance of prod-web-01",monitoring,monitor_performance,0.94,"system_monitoring|memory_monitoring|process_monitoring"
"execute ps aux",automation,restart_service,0.81,"service_management|system_monitoring"
"check health of database",monitoring,view_dashboard,0.88,"system_monitoring|api_query|log_analysis"
"update ssh configuration",configuration,set_permissions,0.79,"system_info|disk_management"
"diagnose performance issues on server1",troubleshooting,analyze_logs,0.86,"log_analysis|text_search"
"view logs for docker",monitoring,check_status,0.8,"system_monitoring|service_management|log_analysis"
"list hosts in staging",asset_management,list_servers,0.87,"asset_management|resource_listing|asset_query"
"show examples of curl commands",information,calculate,0.87,"system_info|infrastructure_info"
"get configuration",information,answer_question,0.77,"system_info"
"start docker on web-01",automation,execute_command,0.92,"system_info|process_management"
"count active servers",asset_management,list_credentials,0.75,"credential_access|secret_retrieval|resource_listing"
"search for db-primary",asset_management,get_credentials,0.81,"credential_access|secret_retrieval"
"get CPU metrics for db-server",monitoring,view_logs,0.75,"log_analysis|system_info"
"emergency shutdown of nginx",automation,deploy_application,0.88,"service_management|disk_management|system_monitoring"
"emergency shutdown of redis",automation,start_service,0.89,"service_management|system_monitoring"
"restart apache service",automation,run_script,0.94,"system_info|process_management|disk_management"
"show examples of curl commands",information,get_help,0.91,"system_info"
"fix slow response on prod-web-01",troubleshooting,investigate_error,0.77,"log_analysis|system_monitoring|network_testing"
"monitor performance of prod-web-01",monitoring,check_alerts,0.85,"system_monitoring|log_analysis|memory_monitoring"
"backup /var/www to /backup",automation,restart_service,0.86,"service_management|system_monitoring|process_management"
"get asset server-001",asset_management,get_asset,0.84,"asset_management|asset_query"
"start docker on db-server",automation,start_service,0.96,"service_management|system_monitoring"
"set permissions for /etc/nginx",configuration,change_settings,0.85,"system_info|service_management|disk_management"
"stop docker",automation,stop_service,0.94,"service_management|system_monitoring"
"fix memory leak on server1",troubleshooting,fix_problem,0.93,"service_management|system_info|process_management"
"list available services",information,calculate,0.98,"system_info"
"modify max_connections in redis",configuration,modify_parameters,0.78,"system_info|service_management"
"show dashboard for apache",monitoring,check_health,0.96,"system_monitoring|service_management"
"set permissions for /var/www",configuration,update_security,0.86,"system_info|service_management"
"update development settings",configuration,update_security,0.84,"system_info|service_management"
"search for load-balancer",asset_management,get_asset_info,0.91,"asset_management|asset_query|network_info"
"deploy webapp to development",automation,restore_data,0.8,"disk_management|system_info"
"show documentation for monitoring",information,show_documentation,0.76,"system_info"
"what is the status of database",information,show_examples,0.96,"system_info|resource_listing"
"show dashboard for ssh",monitoring,check_health,0.8,"system_monitoring|service_management|log_analysis"
"search for load-balancer",asset_management,list_hosts,0.93,"asset_management|resource_listing"
"backup /var/log to /tmp",automation,emergency_response,0.88,"service_management|system_monitoring|process_management"
"configure mysql on db-server",configuration,configure_service,0.92,"service_management|system_info|disk_management"
"check health of service",monitoring,view_dashboard,0.78,"system_monitoring|api_query"
"check connectivity to prod-web-01",troubleshooting,diagnose_performance,0.86,"system_monitoring|memory_monitoring|process_monitoring"
"list all servers",asset_management,list_assets,0.87,"asset_management|resource_listing"
"investigate connection timeout in API",troubleshooting,diagnose_issue,0.92,"system_monitoring|log_analysis|process_monitoring|network_testing"
"get configuration",information,show_examples,0.83,"system_info"
"query assets in AWS us-east-1",asset_management,count_assets,0.96,"asset_management|asset_query"
"display contents of /etc/passwd",information,describe_system,0.84,"system_info|infrastructure_info|resource_listing"
"list hosts in test",asset_management,list_servers,0.92,"asset_management|resource_listing"
"view logs for redis",monitoring,check_status,0.91,"system_monitoring|service_management"
"check connectivity to 192.168.1.100",troubleshooting,diagnose_issue,0.91,"system_monitoring|log_analysis|process_monitoring|network_testing"
"investigate connection timeout in database",troubleshooting,diagnose_issue,0.75,"system_monitoring|log_analysis|process_monitoring"
"read /etc/hostname",information,provide_information,0.89,"system_info|infrastructure_info"
"count active servers",asset_management,query_assets,0.91,"asset_management|asset_query"
"update security settings for apache",configuration,change_settings,0.85,"system_info|service_management"
"diagnose performance issues on prod-web-01",troubleshooting,check_connectivity,0.91,"network_testing|network_monitoring|system_monitoring"
"restart nginx service",automation,execute_command,0.83,"system_info|process_management"
"get information about load balancer",asset_management,search_assets,0.87,"asset_management|asset_query"
"execute ls -la",automation,backup_data,0.94,"disk_management|system_info"
"set permissions for /var/www",configuration,configure_service,0.93,"service_management|system_info|disk_management"
"investigate permission denied in API",troubleshooting,diagnose_issue,0.78,"system_monitoring|log_analysis|process_monitoring"
"get status report",information,answer_question,0.86,"system_info"
"change timeout to 100",configuration,change_settings,0.91,"system_info|service_management"
"show examples of ssh keys",information,calculate,0.78,"system_info"
"list all servers",asset_management,count_assets,0.9,"asset_management|asset_query"
"read /etc/passwd",information,explain_concept,0.93,"system_info"
"get information about load balancer",asset_management,list_assets,0.79,"asset_management|resource_listing"
"start docker on prod-web-01",automation,emergency_response,0.84,"service_management|system_monitoring|process_management"
"update ssh configuration",configuration,update_environment,0.97,"system_info|service_management|disk_management"
"start ssh on web-01",automation,stop_service,0.82,"service_management|system_monitoring|disk_management"
"get information about load balancer",asset_management,search_assets,0.91,"asset_management|asset_query"
"investigate connection timeout in web app",troubleshooting,diagnose_performance,0.77,"system_monitoring|memory_monitoring|process_monitoring|log_analysis"
"get information about server",asset_management,query_assets,0.8,"asset_management|asset_query"
"calculate memory usage",information,explain_concept,0.84,"system_info"
"calculate memory usage",information,provide_information,0.93,"system_info|infrastructure_info|resource_listing"
"what is the status of application",information,list_resources,0.86,"resource_listing|system_info"
"calculate CPU usage",information,describe_system,0.95,"system_info|infrastructure_info|resource_listing"
"check status of postgresql",monitoring,monitor_performance,0.76,"system_monitoring|memory_monitoring|process_monitoring|log_analysis"
"explain SSL certificates",information,answer_question,0.81,"system_info"
"how do I restart a service",information,provide_information,0.81,"system_info|infrastructure_info|resource_listing"
"check status of docker",monitoring,view_logs,0.89,"log_analysis|system_info"
"diagnose performance issues on prod-web-01",troubleshooting,diagnose_performance,0.82,"system_monitoring|memory_monitoring|process_monitoring|network_testing"
"diagnose nginx issue",troubleshooting,diagnose_issue,0.87,"system_monitoring|log_analysis|process_monitoring"
"debug web app performance",troubleshooting,fix_problem,0.77,"service_management|system_info|process_management|network_testing"
"describe database cluster",information,show_documentation,0.92,"system_info"
"analyze logs for permission denied",troubleshooting,check_connectivity,0.9,"network_testing|network_monitoring|system_monitoring"
"set permissions for /var/www",configuration,update_environment,0.79,"system_info|service_management"
"list available databases",information,calculate,0.8,"system_info|infrastructure_info"
"restart nginx service",automation,stop_service,0.85,"service_management|system_monitoring"
"check alerts for test",monitoring,get_metrics,0.87,"system_monitoring|memory_monitoring|disk_monitoring"
"how do I restart a service",information,describe_system,0.85,"system_info|infrastructure_info|resource_listing"
"check alerts for development",monitoring,monitor_performance,0.87,"system_monitoring|memory_monitoring|process_monitoring"
"discover assets in 192.168.1.0/24",asset_management,asset_discovery,0.77,"asset_management|network_info"
"update staging settings",configuration,update_config,0.77,"system_info|service_management"
"fix slow response on prod-web-01",troubleshooting,investigate_error,0.88,"log_analysis|system_monitoring"
"restore /var/www from /backup/daily",automation,deploy_application,0.85,"service_management|disk_management|system_monitoring"
"get credentials for postgresql",asset_management,count_assets,0.86,"asset_management|asset_query|resource_listing"
"list all servers",asset_management,list_assets,0.87,"asset_management|resource_listing"
"investigate permission denied in database",troubleshooting,check_connectivity,0.77,"network_testing|network_monitoring"
"backup /var/log to /backup",automation,start_service,0.84,"service_management|system_monitoring|process_management"
"get CPU metrics for db-server",monitoring,check_status,0.92,"system_monitoring|service_management"
"calculate disk space",information,show_documentation,0.8,"system_info|infrastructure_info"
"show documentation for docker",information,provide_information,0.93,"system_info|infrastructure_info"
"analyze logs for connection timeout",troubleshooting,diagnose_performance,0.82,"system_monitoring|memory_monitoring|process_monitoring"
"show documentation for nginx",information,math,0.93,"system_info|resource_listing"
"show examples of ssh keys",information,show_examples,0.98,"system_info|infrastructure_info"
"get credentials for docker",asset_management,get_asset_info,0.94,"asset_management|asset_query|resource_listing"
"show system info",information,list_resources,0.94,"resource_listing|system_info"
"investigate connection timeout in service",troubleshooting,diagnose_issue,0.86,"system_monitoring|log_analysis|process_monitoring"
"show dashboard for apache",monitoring,check_health,0.96,"system_monitoring|service_management"
"count active servers",asset_management,query_assets,0.83,"asset_management|asset_query"
"deploy application to development",automation,deploy_application,0.89,"service_management|disk_management|system_monitoring|system_info"
"configure apache on prod-web-01",configuration,set_permissions,0.76,"system_info|disk_management"
"get configuration",information,compute,0.89,"system_info"
"count active servers",asset_management,asset_discovery,0.84,"asset_management|network_info|asset_query"
"show system info",information,show_examples,0.94,"system_info|resource_listing"
"check alerts for test",monitoring,check_health,0.87,"system_monitoring|service_management|disk_monitoring"
"restore /var/log from /snapshots/latest",automation,backup_data,0.95,"disk_management|system_info|service_management"
"check connectivity to prod-web-01",troubleshooting,debug_application,0.84,"process_monitoring|log_analysis|system_monitoring"
"explain SSL certificates",information,get_status_info,0.97,"system_info|system_monitoring"
"count active servers",asset_management,find_asset,0.96,"asset_management|asset_query|network_info"
"set permissions for /home/user",configuration,update_config,0.86,"system_info|service_management|disk_management"
"fix memory leak on db-server",troubleshooting,analyze_logs,0.97,"log_analysis|text_search|system_monitoring"
"count active servers",asset_management,asset_count,0.76,"asset_management|asset_query"
"set permissions for /home/user",configuration,update_config,0.92,"system_info|service_management"
"check alerts for staging",monitoring,monitor_performance,0.87,"system_monitoring|memory_monitoring|process_monitoring"
"fix connection issue on db-server",troubleshooting,investigate_error,0.93,"log_analysis|system_monitoring"
"query assets in datacenter-1",asset_management,list_credentials,0.85,"credential_access|secret_retrieval|asset_management"
"restart docker service",automation,restore_data,0.75,"disk_management|system_info|service_management"
"fix slow response on server1",troubleshooting,check_connectivity,0.9,"network_testing|network_monitoring"
"diagnose redis issue",troubleshooting,fix_problem,0.86,"service_management|system_info|process_management"
"update apache configuration",configuration,update_config,0.9,"system_info|service_management|disk_management"
"emergency shutdown of apache",automation,restart_service,0.79,"service_management|system_monitoring"
"restore /var/www from /backup/daily",automation,emergency_response,0.96,"service_management|system_monitoring|process_management|disk_management"
"read /etc/hostname",information,answer_question,0.95,"system_info"
"get status report",information,get_status_info,0.95,"system_info|system_monitoring"
"restart mysql service",automation,restore_data,0.86,"disk_management|system_info"
"search for web-server",asset_management,get_asset_info,0.97,"asset_management|asset_query"
"show network config",information,provide_information,0.87,"system_info|infrastructure_info"
"check alerts for test",monitoring,monitor_performance,0.79,"system_monitoring|memory_monitoring|process_monitoring"
"restart apache service",automation,deploy_application,0.78,"service_management|disk_management|system_monitoring"
"diagnose performance issues on db-server",troubleshooting,diagnose_performance,0.82,"system_monitoring|memory_monitoring|process_monitoring"
"set permissions for /home/user",configuration,update_security,0.77,"system_info|service_management|disk_management"
"deploy microservice to production",automation,emergency_response,0.83,"service_management|system_monitoring|process_management"
"backup /var/www to /archive",automation,backup_data,0.88,"disk_management|system_info"
"emergency shutdown of nginx",automation,deploy_application,0.92,"service_management|disk_management|system_monitoring"
"monitor performance of server1",monitoring,view_logs,0.8,"log_analysis|system_info"
"fix disk space on 192.168.1.100",troubleshooting,diagnose_performance,0.9,"system_monitoring|memory_monitoring|process_monitoring"
"display contents of /var/log/nginx/access.log",information,list_resources,0.97,"resource_listing|system_info"
"describe load balancer",information,calculate,0.83,"system_info|infrastructure_info"
"diagnose mysql issue",troubleshooting,investigate_error,0.77,"log_analysis|system_monitoring|process_monitoring"
"list hosts in test",asset_management,list_assets,0.85,"asset_management|resource_listing"
"run maintenance.sh on prod-web-01",automation,restart_service,0.97,"service_management|system_monitoring"
"debug service performance",troubleshooting,diagnose_performance,0.92,"system_monitoring|memory_monitoring|process_monitoring|log_analysis"
"view logs for nginx",monitoring,view_logs,0.97,"log_analysis|system_info"
"show process list",information,get_help,0.89,"system_info"
"analyze logs for out of memory",troubleshooting,diagnose_performance,0.85,"system_monitoring|memory_monitoring|process_monitoring"
"display contents of /etc/hostname",information,calculate,0.75,"system_info"
"restore /home/user from /snapshots/latest",automation,restart_service,0.94,"service_management|system_monitoring"
"run maintenance.sh on server1",automation,run_script,0.97,"system_info|process_management"
"view logs for postgresql",monitoring,get_metrics,0.8,"system_monitoring|memory_monitoring|disk_monitoring|process_monitoring"
"find asset by hostname",asset_management,get_asset,0.91,"asset_management|asset_query"
"diagnose ssh issue",troubleshooting,diagnose_issue,0.83,"system_monitoring|log_analysis|process_monitoring"
"list available credentials",asset_management,query_assets,0.82,"asset_management|asset_query|network_info"
"get information about database",asset_management,list_credentials,0.92,"credential_access|secret_retrieval|network_info"
"show dashboard for ssh",monitoring,monitor_performance,0.97,"system_monitoring|memory_monitoring|process_monitoring"
"check health of service",monitoring,view_logs,0.96,"log_analysis|system_info"
"restore /home/user from /backup/daily",automation,stop_service,0.86,"service_management|system_monitoring"
"list available servers",information,describe_system,0.91,"system_info|infrastructure_info"
"set permissions for /var/www",configuration,modify_parameters,0.96,"system_info|service_management"
"modify timeout in redis",configuration,modify_parameters,0.94,"system_info|service_management|disk_management"
"list available databases",information,provide_information,0.88,"system_info|infrastructure_info"
